0.028: 0xDECA1A12B113CC2E initial-position: x=0 y=1000 z=0 q=100
0.028: 0xDECAA9566A21919B initial-position: x=0 y=0 z=1000 q=100
0.028: 0xDECAB8F74901D633 initial-position: x=1000 y=0 z=0 q=100
0.028: 0xDECAF57F6B829325 initial-position: x=0 y=0 z=0 q=100
71.101: started location data observation of E1:FA:B6:92:E7:D8
73.941: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2341, quality=100}, CC2E distance=Distance{length=4450, quality=100}, D633 distance=Distance{length=1948, quality=100}, 919B distance=Distance{length=629, quality=100}
74.041: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2285, quality=100}, CC2E distance=Distance{length=4511, quality=100}, D633 distance=Distance{length=4028, quality=100}, 919B distance=Distance{length=634, quality=100}
74.139: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2407, quality=100}, CC2E distance=Distance{length=4483, quality=100}, D633 distance=Distance{length=4084, quality=100}, 919B distance=Distance{length=643, quality=100}
74.239: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2412, quality=100}, CC2E distance=Distance{length=4440, quality=100}, D633 distance=Distance{length=1882, quality=100}, 919B distance=Distance{length=610, quality=100}
74.339: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2374, quality=100}, CC2E distance=Distance{length=4459, quality=100}, D633 distance=Distance{length=1892, quality=100}, 919B distance=Distance{length=629, quality=100}
74.455: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=4431, quality=100}, CC2E distance=Distance{length=4511, quality=100}, D633 distance=Distance{length=2979, quality=100}, 919B distance=Distance{length=639, quality=100}
74.536: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=4375, quality=100}, CC2E distance=Distance{length=4459, quality=100}, D633 distance=Distance{length=4099, quality=100}, 919B distance=Distance{length=629, quality=100}
74.638: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2318, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=3494, quality=100}, 919B distance=Distance{length=592, quality=100}
74.753: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2374, quality=100}, CC2E distance=Distance{length=4440, quality=100}, D633 distance=Distance{length=2969, quality=100}, 919B distance=Distance{length=620, quality=100}
74.836: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2271, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=2862, quality=100}, 919B distance=Distance{length=545, quality=100}
74.951: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4515, quality=100}, D633 distance=Distance{length=1892, quality=100}, 919B distance=Distance{length=610, quality=100}
75.049: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2276, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=2960, quality=100}, 919B distance=Distance{length=587, quality=100}
75.132: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2191, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=3850, quality=100}, 919B distance=Distance{length=582, quality=100}
75.248: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2210, quality=100}, CC2E distance=Distance{length=4417, quality=100}, D633 distance=Distance{length=3485, quality=100}, 919B distance=Distance{length=568, quality=100}
75.348: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2220, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=3433, quality=100}, 919B distance=Distance{length=601, quality=100}
75.447: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2135, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=2384, quality=100}, 919B distance=Distance{length=629, quality=100}
75.547: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2177, quality=100}, CC2E distance=Distance{length=4501, quality=100}, D633 distance=Distance{length=1897, quality=100}, 919B distance=Distance{length=667, quality=100}
75.648: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2116, quality=100}, CC2E distance=Distance{length=4426, quality=100}, D633 distance=Distance{length=1859, quality=100}, 919B distance=Distance{length=606, quality=100}
75.745: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2084, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=1906, quality=100}, 919B distance=Distance{length=639, quality=100}
