1917.808: started location data observation of E1:FA:B6:92:E7:D8
1920.355: 0xâ€¦9620 location data: position: x=985 y=844 z=1090 q=80; distances: 872B distance=Distance{length=887, quality=100}, 919B distance=Distance{length=895, quality=100}, 9325 distance=Distance{length=1775, quality=100}, D633 distance=Distance{length=1953, quality=100}
1920.455: 0xâ€¦9620 location data: position: x=964 y=862 z=1120 q=73; distances: 872B distance=Distance{length=895, quality=100}, 919B distance=Distance{length=901, quality=100}, 9325 distance=Distance{length=1817, quality=100}, D633 distance=Distance{length=1859, quality=100}
1920.553: 0xâ€¦9620 location data: position: x=927 y=856 z=1108 q=77; distances: 872B distance=Distance{length=946, quality=100}, 919B distance=Distance{length=854, quality=100}, 9325 distance=Distance{length=1812, quality=100}, D633 distance=Distance{length=1929, quality=100}
1920.653: 0xâ€¦9620 location data: position: x=876 y=854 z=1083 q=77; distances: 872B distance=Distance{length=1031, quality=100}, 919B distance=Distance{length=831, quality=100}, 9325 distance=Distance{length=1779, quality=100}, D633 distance=Distance{length=1920, quality=100}
1920.751: 0xâ€¦9620 location data: position: x=850 y=878 z=1079 q=84; distances: 872B distance=Distance{length=1035, quality=100}, 919B distance=Distance{length=793, quality=100}, 9325 distance=Distance{length=1751, quality=100}, D633 distance=Distance{length=1845, quality=100}
1920.851: 0xâ€¦9620 location data: position: x=804 y=857 z=1040 q=79; distances: 919B distance=Distance{length=784, quality=100}, 872B distance=Distance{length=1064, quality=100}, 9325 distance=Distance{length=1817, quality=100}, D633 distance=Distance{length=1999, quality=100}
1920.952: 0xâ€¦9620 location data: position: x=767 y=855 z=1078 q=78; distances: 919B distance=Distance{length=737, quality=100}, 872B distance=Distance{length=1148, quality=100}, 9325 distance=Distance{length=1929, quality=100}, D633 distance=Distance{length=1994, quality=100}
1921.067: 0xâ€¦9620 location data: position: x=712 y=836 z=1025 q=80; distances: 919B distance=Distance{length=695, quality=100}, 872B distance=Distance{length=1157, quality=100}, 9325 distance=Distance{length=1873, quality=100}, D633 distance=Distance{length=2093, quality=100}
1921.149: 0xâ€¦9620 location data: position: x=677 y=837 z=1004 q=78; distances: 919B distance=Distance{length=657, quality=100}, 872B distance=Distance{length=1129, quality=100}, 9325 distance=Distance{length=1859, quality=100}, D633 distance=Distance{length=2135, quality=100}
1921.250: 0xâ€¦9620 location data: position: x=636 y=817 z=1020 q=81; distances: 919B distance=Distance{length=610, quality=100}, 872B distance=Distance{length=1237, quality=100}, 9325 distance=Distance{length=2013, quality=100}, D633 distance=Distance{length=2140, quality=100}
1921.350: 0xâ€¦9620 location data: position: x=617 y=785 z=1011 q=83; distances: 919B distance=Distance{length=714, quality=100}, 872B distance=Distance{length=1204, quality=100}, 9325 distance=Distance{length=1986, quality=100}, D633 distance=Distance{length=2177, quality=100}
1921.450: 0xâ€¦9620 location data: position: x=598 y=728 z=1016 q=86; distances: 919B distance=Distance{length=775, quality=100}, 872B distance=Distance{length=1301, quality=100}, 9325 distance=Distance{length=2112, quality=100}, D633 distance=Distance{length=2290, quality=100}
1921.546: 0xâ€¦9620 location data: position: x=621 y=762 z=1148 q=79; distances: 919B distance=Distance{length=845, quality=100}, 872B distance=Distance{length=1273, quality=100}, 9325 distance=Distance{length=2130, quality=100}, D633 distance=Distance{length=2088, quality=100}
1921.645: 0xâ€¦9620 location data: position: x=629 y=702 z=1149 q=87; distances: 919B distance=Distance{length=911, quality=100}, 872B distance=Distance{length=1270, quality=100}, 9325 distance=Distance{length=2126, quality=100}, D633 distance=Distance{length=2271, quality=100}
1921.762: 0xâ€¦9620 location data: position: x=497 y=675 z=1111 q=87; distances: 919B distance=Distance{length=235, quality=100}, 872B distance=Distance{length=1358, quality=100}, 9325 distance=Distance{length=2163, quality=100}, D633 distance=Distance{length=2191, quality=100}
1921.845: 0xâ€¦9620 location data: position: x=488 y=783 z=1185 q=74; distances: 919B distance=Distance{length=535, quality=100}, 872B distance=Distance{length=1339, quality=100}, 9325 distance=Distance{length=2041, quality=100}, D633 distance=Distance{length=1972, quality=100}
1921.951: 0xâ€¦9620 location data: position: x=490 y=836 z=1274 q=77; distances: 919B distance=Distance{length=648, quality=100}, 872B distance=Distance{length=1395, quality=100}, 9325 distance=Distance{length=2093, quality=100}, D633 distance=Distance{length=2084, quality=100}
1922.044: 0xâ€¦9620 location data: position: x=436 y=905 z=1242 q=90; distances: 919B distance=Distance{length=273, quality=100}, 872B distance=Distance{length=1405, quality=100}, 9325 distance=Distance{length=2140, quality=100}, D633 distance=Distance{length=2013, quality=100}
1922.158: 0xâ€¦9620 location data: position: x=346 y=937 z=1216 q=80; distances: 919B distance=Distance{length=0, quality=100}, 872B distance=Distance{length=1372, quality=100}, 9325 distance=Distance{length=2069, quality=100}, D633 distance=Distance{length=2102, quality=100}
1922.258: 0xâ€¦9620 location data: position: x=280 y=969 z=1206 q=79; distances: 919B distance=Distance{length=0, quality=100}, 872B distance=Distance{length=1447, quality=100}, 9325 distance=Distance{length=2065, quality=100}, D633 distance=Distance{length=2079, quality=100}
1922.359: 0xâ€¦9620 location data: position: x=243 y=998 z=1227 q=79; distances: 919B distance=Distance{length=0, quality=100}, 872B distance=Distance{length=1386, quality=100}, 9325 distance=Distance{length=1990, quality=100}, D633 distance=Distance{length=2027, quality=100}
1922.458: 0xâ€¦9620 location data: position: x=170 y=1069 z=1189 q=77; distances: 919B distance=Distance{length=0, quality=100}, 872B distance=Distance{length=1494, quality=100}, 9325 distance=Distance{length=2027, quality=100}, D633 distance=Distance{length=1920, quality=100}
1922.541: 0xâ€¦9620 location data: position: x=160 y=1118 z=1129 q=79; distances: 919B distance=Distance{length=170, quality=100}, 872B distance=Distance{length=1428, quality=100}, 9325 distance=Distance{length=1854, quality=100}, D633 distance=Distance{length=1920, quality=100}
1922.640: 0xâ€¦9620 location data: position: x=145 y=1104 z=1050 q=33; distances: 919B distance=Distance{length=249, quality=100}, 872B distance=Distance{length=1531, quality=100}, D721 distance=Distance{length=2252, quality=100}, 9325 distance=Distance{length=1873, quality=100}
1922.755: 0xâ€¦9620 location data: position: x=154 y=1134 z=971 q=39; distances: 919B distance=Distance{length=343, quality=100}, 872B distance=Distance{length=1381, quality=100}, D721 distance=Distance{length=2248, quality=100}, 9325 distance=Distance{length=1751, quality=100}
1922.854: 0xâ€¦9620 location data: position: x=53 y=1173 z=866 q=37; distances: 919B distance=Distance{length=667, quality=100}, 872B distance=Distance{length=1868, quality=100}, D721 distance=Distance{length=2201, quality=100}, 9325 distance=Distance{length=1779, quality=100}
1922.953: 0xâ€¦9620 location data: position: x=-24 y=1206 z=827 q=37; distances: 919B distance=Distance{length=540, quality=100}, 872B distance=Distance{length=1868, quality=100}, D721 distance=Distance{length=2144, quality=100}, 9325 distance=Distance{length=1723, quality=100}
1923.054: 0xâ€¦9620 location data: position: x=41 y=1317 z=913 q=79; distances: 919B distance=Distance{length=606, quality=100}, 872B distance=Distance{length=1489, quality=100}, 9325 distance=Distance{length=1840, quality=100}, D633 distance=Distance{length=1714, quality=100}
1923.153: 0xâ€¦9620 location data: position: x=124 y=1378 z=1030 q=54; distances: 919B distance=Distance{length=667, quality=100}, 872B distance=Distance{length=1522, quality=100}, 9325 distance=Distance{length=1892, quality=100}, D721 distance=Distance{length=1873, quality=100}
1923.251: 0xâ€¦9620 location data: position: x=115 y=1405 z=925 q=31; distances: 919B distance=Distance{length=657, quality=100}, 872B distance=Distance{length=1578, quality=100}, D633 distance=Distance{length=1826, quality=100}, D721 distance=Distance{length=1981, quality=100}
1923.350: 0xâ€¦9620 location data: position: x=251 y=1494 z=1122 q=20; distances: 919B distance=Distance{length=1120, quality=100}, 872B distance=Distance{length=1550, quality=100}, 9325 distance=Distance{length=1962, quality=100}, D721 distance=Distance{length=1840, quality=100}
