i,rad,dist,x,y,x_left,y_left,x_right,y_right
0,207.2422691154494,0.11172052052985107,2.0231672236972083,2.3720500314192803,nan,nan,nan,nan
1,93.6018955520016,0.11172052052985107,1.93550534304607,2.303257728367477,1.8427683434160944,2.4211553487829454,2.0282423426760454,2.1853601079520084
2,56.028266887178546,0.11172052052985104,1.847685401568421,2.2340106193422358,1.7546661341864624,2.351685662982439,1.9407046689503795,2.1163355757020326
3,37.43523982966002,0.1117205205298511,1.760143249278642,2.164631940032322,1.66682593742854,2.2820707722347535,1.853460561128744,2.047193107829891
4,26.324124378979125,0.11172052052985104,1.6730706031884965,2.0952549211110734,1.5794386107028624,2.2124430177044143,1.7667025956741307,1.9780668245177326
5,19.05361829867697,0.11172052052985104,1.5856026527410274,2.0251650193456396,1.4916342442662764,2.142083530321115,1.6795710612157784,1.9082465083701643
6,13.955386827424402,0.11172052052985104,1.4986768319253934,1.9550855695855627,1.4043516310868558,2.0717164252232094,1.593002032763931,1.8384547139479162
7,10.201173186452767,0.11172052052985115,1.4120524118527413,1.8847964425025594,1.317346721512272,2.001118547956059,1.5067581021932106,1.7684743370490594
8,7.384419067459828,0.11172052052985104,1.3252972906992013,1.8139118948095698,1.2301824652195292,1.9298996957800663,1.4204121161788734,1.6979240938390734
9,5.198706845291877,0.11172052052985104,1.2394876616598833,1.7432773202377247,1.1439368914381365,1.8589062539439167,1.3350384318816302,1.6276483865315328
10,3.502522989139601,0.11172052052985104,1.1534887510072496,1.671918847040223,1.0574655460965612,1.7871557513663978,1.249511955917938,1.5566819427140484
11,2.1945043246282046,0.11172052052985104,1.0679747430601438,1.6003453955813576,0.9714413345383681,1.7151552428905843,1.1645081515819196,1.4855355482721309
12,1.3013535816435666,0.11172052052985104,0.9821502350667628,1.527830529171332,0.8850579073779195,1.642168099129602,1.0792425627556061,1.4134929592130623
13,1.0023118829355218,0.11172052052985104,0.8972421290678632,1.4553455596781337,0.7995429780676099,1.5691650478769026,0.9949412800681164,1.3415260714793649
14,1.2798991351672688,0.11172052052985104,0.8130464228799176,1.382653112233711,0.7146832416326123,1.4958992361184151,0.9114096041272228,1.2694069883490067
15,1.7036779427701314,0.11172052052985126,0.728640913185844,1.3088627228128684,0.6295379143918604,1.4214619929261318,0.8277439119798277,1.196263452699605
16,2.093012844717019,0.11172052052985104,0.6452092661513874,1.2348998272106015,0.545287033191408,1.3467727343878606,0.7451314991113668,1.1230269200333425
17,2.4056434725010525,0.11172052052985104,0.5618867197439856,1.1598675570798682,0.4610394751626734,1.270907339411954,0.6627339643252979,1.0488277747477823
18,2.6424784898559963,0.11172052052985126,0.4799003759709596,1.0847166419086811,0.37801319567506464,1.1948029829840017,0.5817875562668545,0.9746303008333607
19,2.802076637520395,0.11172052052985082,0.39790789718427816,1.008011800923042,0.2948170298528148,1.116971761793293,0.5009987645157414,0.8990518400527912
20,2.889536166775237,0.11172052052985082,0.3173076059577353,0.9307940460801949,0.21282563785565656,1.0384208008464526,0.421789574059814,0.8231672913139371
21,2.90720787864837,0.11172052052985126,0.23774769075217447,0.8523986091358304,0.13162107003162513,0.9584039881240528,0.34387431147272385,0.7463932301476081
22,2.8557247599549616,0.11172052052985126,0.15976223979891563,0.7728940645849482,0.051658484346761055,0.876882419976986,0.2678659952510702,0.6689057091929105
23,2.7324170103434335,0.11172052052985082,0.08320296207707997,0.6914584716910314,-0.02735667449171328,0.7928318743259255,0.19376259864587322,0.5900850690561372
24,2.5331479773903487,0.11172052052985126,0.008685715607943761,0.607692514234923,-0.10503130794431302,0.7055109100222976,0.12240273916020054,0.5098741184475484
25,2.2442657200489067,0.11172052052985082,-0.06218117210604826,0.5217701880816716,-0.18010674272523303,0.6144716432705718,0.05574439851313649,0.4290687328927715
26,1.8460466017344122,0.11172052052985126,-0.12855313592956932,0.43165980373071483,-0.2525287261128803,0.5160994451244331,-0.004577545746258349,0.34722016233699665
27,1.3219590440071969,0.11172052052985082,-0.18638541529394143,0.33593538859620886,-0.31978659934521414,0.4045220060497504,-0.05298423124266868,0.2673487711426673
28,1.0200636808408141,0.11172052052985126,-0.2247192010605268,0.23151254034811172,-0.3724247141638718,0.2576483663132039,-0.07701368795718186,0.20537671438301952
29,1.480416372157419,0.11172052052985082,-0.20059823366015322,0.12671225145135048,-0.3096627583215039,0.023732013248122255,-0.09153370899880256,0.22969248965457872
30,1.8926408776544033,0.11172052052985171,-0.10023299505365599,0.08193021771673181,-0.12448366177870944,-0.06609648650716957,-0.07598232832860254,0.2299569219406332
31,2.1581285607547986,0.11172052052985082,0.01105267472936235,0.07694809417744891,0.01737918057631206,-0.072918430849885,0.004726168882412638,0.22681461920478282
32,2.2990637908719203,0.11172052052985082,0.12196308359142803,0.08752473168445177,0.14265496357283278,-0.06104123380844009,0.10127120361002329,0.23609069717734363
33,2.325248568986833,0.11172052052985126,0.23240945296510312,0.10640177604100091,0.26161413055719546,-0.040727713887911535,0.2032047753730108,0.2535312659699134
34,2.2399912380620846,0.11172052052985082,0.34141244483808847,0.1303684833648052,0.3762930693301512,-0.015519631418557861,0.3065318203460257,0.2762565981481683
35,2.039676756083853,0.11172052052985126,0.4493047722416088,0.15785827562383162,0.4882941314651995,0.01301411845022038,0.4103154130180181,0.30270243279744286
36,1.7208489614666291,0.11172052052985126,0.556797604746688,0.18810683473039508,0.5989415669918305,0.0441489018253968,0.5146536425015455,0.3320647676353934
37,1.3105882683069283,0.11172052052985126,0.6641484651857334,0.22059463325769899,0.7088112009132024,0.0773981247900053,0.6194857294582645,0.3637911417253927
38,1.0028892639355218,0.11172052052985038,0.7706791221762702,0.2546899049845592,0.8173973318794509,0.1121507563897621,0.7239609124730896,0.39722905357935623
39,1.3985241509301642,0.11172052052985126,0.8765870883749688,0.2901312266017516,0.9250238669361724,0.1481668702209582,0.8281503098137651,0.432095582982545
40,2.6051585781555215,0.11172052052985126,0.9821819391325746,0.3267853249463223,1.0320854156415324,0.18532987954983043,0.9322784626236167,0.46824077034281414
41,4.486990695762205,0.11172052052985038,1.0870992121213392,0.3643399704003485,1.138268289939762,0.22333739781668185,1.0359301343029164,0.5053425429840152
42,7.199975855000097,0.11172052052985126,1.1921996939619404,0.40296140773868167,1.2444829254003997,0.2623681514624559,1.139916462523481,0.5435546640149074
43,11.185683589842597,0.11172052052985126,1.296784444456081,0.442279638533533,1.350051708167867,0.3020562502680263,1.243517180744295,0.5825030267990398
44,17.365653858220654,0.11172052052985126,1.4010500264838495,0.4822687192613584,1.455195721513623,0.3423821805603714,1.3469043314540758,0.6221552579623454
45,27.940675052972303,0.11172052052985126,1.5050406742627827,0.5228644112980947,1.5599767805446254,0.3832863892939479,1.45010456798094,0.6624424333022414
46,49.331063488584306,0.11172052052985126,1.6090417219268036,0.5641121737509821,1.6646956010706881,0.42481879366334874,1.553387842782919,0.7034055538386155
47,114.4032027551145,0.11172052052985038,1.7124085165498226,0.6056967788840687,1.7687139610184184,0.4666654985073352,1.6561030720812269,0.7447280592608022
48,62972456.70174643,0.11172052052985126,1.816064734253413,0.647940241379216,1.8729699897374015,0.5091533835781188,1.7591594787694247,0.7867270991803132
